application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020170096944,,1019177200000,소멸,소멸,웨이퍼 마킹 장치 및 웨이퍼 마킹방법,한미반도체 주식회사
1020120007215,1020130086441,,거절,거절,반도체 패키지 처리장치 및 반도체 패키지 처리방법,한미반도체 주식회사
1020080089242,1020090028431,1014729690000,소멸,소멸,메모리카드 가공장치,한미반도체 주식회사
1020110058493,1020120138997,,거절,거절,반도체 자재용 또는 LED자재용 절단장치 및 반도체 자재 또는 LED자재의 절단방법,한미반도체 주식회사
1019940011169,1019950034725,1001306130000,소멸,소멸,반도체팩키지의리이드재성형장치,한미반도체 주식회사
1020020052390,1020020079653,,포기,포기,반도체 패키지 싱귤레이션 시스템,한미반도체 주식회사
1020000079282,1020020049954,1003858760000,소멸,소멸,반도체 패키지장치 절단용 핸들러 시스템,한미반도체 주식회사
1020110045614,1020120127864,,거절,거절,컬 제거장치,한미반도체 주식회사
1019940011168,1019950034694,1001306140000,소멸,소멸,반도체팩키지의튜브적치장치,한미반도체 주식회사
1019990005740,1020000056424,,취하,취하,플립칩용 디스펜싱 장치,한미반도체 주식회사
1020080055515,1020090129549,1014255420000,소멸,소멸,메모리카드 가공장치,한미반도체 주식회사
1020070118976,1020090052468,,거절,거절,자재 하프 컷팅 방법,한미반도체 주식회사
1020080114552,1020100055705,1014611180000,소멸,소멸,반도체 패키지 가공용 지그,한미반도체 주식회사
1020230145985,,1026731730000,등록,등록,반도체 자재 처리장치 및 이의 처리방법,한미반도체 주식회사
1020070072817,1020090009498,,거절,거절,테이프 부착장치,한미반도체 주식회사
1020030022583,1020040088633,1005141040000,소멸,소멸,에스이시에스 컨트롤러 및 이를 이용한 반도체장비네트워킹 시스템,한미반도체 주식회사
1020130051675,,1014461700000,등록,등록,"반도체 패키지 정렬장치, 반도체 패키지 절단 정렬장치, 및 반도체 패키지 절단 정렬방법",한미반도체 주식회사
1020100039929,1020110120494,,거절,거절,반도체 검사장비의 백라이트 유닛,한미반도체 주식회사
1020110084408,1020130021877,1012758630000,소멸,소멸,웨이퍼 검사장치,한미반도체 주식회사
1020100017191,1020110097377,,거절,거절,압축 성형장치 및 압축 성형방법,한미반도체 주식회사
